time,open,high,low,close,Entry,Stop,Target,MA fast,MA slow,Exh Top,Exh Bot,EMA 9,EMA 21,EMA 50,EMA 200,VWAP,VWAP +1σ,VWAP -1σ,Volume
1767157200,25616.75,25626.25,25593.75,25599,,,,25686.675,25723.855,0,0,25635.427615383313,25672.276389551374,25716.577662646796,25660.327477480005,25706.145799972826,25743.86044359431,25668.431156351344,2081
1767160800,25599,25606,25579.25,25596,,,,25679.525,25718.855,0,0,25627.54209230665,25665.34217231943,25711.849126856727,25659.68740307722,25704.49738582641,25744.298024590902,25664.696747061917,2519
1767164400,25595.5,25609.75,25576.5,25598.25,,,,25673.075,25713.765,0,0,25621.68367384532,25659.242883926756,25707.394259136854,25659.076085633664,25702.428252760503,25744.58072060128,25660.275784919726,3303
1767168000,25597.25,25603.5,25552.5,25559,,,,25664.4,25707.83,0,0,25609.146939076258,25650.12989447887,25701.574876425606,25658.08030368706,25699.229330710496,25745.504870477635,25652.953790943357,4390
1767171600,25558.5,25584.75,25555.75,25569.5,,,,25656.55,25702.82,0,0,25601.217551261005,25642.7999040717,25696.395469506955,25657.19890763047,25696.788228615384,25745.884844833563,25647.691612397204,3455
1767175200,25569.25,25591.5,25561,25584.5,,,,25650.0875,25698.185,0,0,25597.874041008803,25637.499912792457,25692.007411879233,25656.475535415244,25695.54569642349,25745.843426971398,25645.247965875584,1950
1767178800,25585,25611.75,25581.5,25609.5,,,,25642.725,25694.375,0,0,25600.19923280704,25634.95446617496,25688.771827099656,25656.008117152407,25694.352313739113,25745.435203909245,25643.26942356898,2361
1767182400,25609.25,25632,25598.25,25629,,,,25636.975,25692.18,0,0,25605.95938624563,25634.413151068147,25686.42783388006,25655.739379668303,25692.85288747569,25744.492278301917,25641.21349664946,3840
1767186000,25629.25,25714.75,25621.75,25703,,,,25636.125,25690.99,0,0,25625.367508996504,25640.64831915286,25687.07772274751,25656.209634596977,25692.20120416133,25742.611627340702,25641.79078098196,10067
1767189600,25702.75,25716.75,25581.5,25605.5,,,,25629.9625,25688.18,0,0,25621.394007197203,25637.45301741169,25683.87859636525,25655.7050611184,25680.594631125197,25731.22408373838,25629.965178512015,50734
1767193200,25606.25,25618,25542.5,25555,,,,25621.0875,25683.875,0,0,25608.115205757764,25629.957288556085,25678.824533762694,25654.70302070926,25664.910638135207,25725.35496756538,25604.466308705032,42439
1767196800,25554.25,25607.5,25552.75,25605,,,,25615.7375,25681.045,0,0,25607.49216460621,25627.688444141895,25675.929454007295,25654.20846328927,25588.416666666668,25588.416666666668,25588.416666666668,27306
1767200400,25605,25606.5,25568,25581.5,,,,25610.9125,25678.815,0,0,25602.293731684967,25623.48949467445,25672.226338163873,25653.484995992858,25587.03489962274,25588.56825163519,25585.50154761029,22174
1767204000,25581.5,25629.5,25572.5,25614.25,,,,25607.825,25676.61,0,0,25604.684985347973,25622.649540613136,25669.952756275095,25653.09459802278,25592.36596022499,25600.80654029223,25583.92538015775,20212
1767207600,25614.5,25634.5,25532,25535.75,,,,25601.7625,25673.27,0,0,25590.89798827838,25614.749582375578,25664.689903087838,25651.926990082255,25585.042810053357,25598.43724287513,25571.648377231584,28955
1767211200,25535.75,25539.5,25444.5,25455.25,,,,25593.8125,25668.465,0,0,25563.768390622703,25600.249620341434,25656.47657355498,25649.970005106312,25546.2524607255,25598.146282599482,25494.358638851518,57540
1767214800,25455,25471.5,25429,25434.75,,,,25584.65,25663.16,0,0,25537.964712498164,25585.204200310396,25647.781413807726,25647.82851251819,25536.666504863748,25594.248771064045,25479.08423866345,16348
1767308400,25478.5,25504,25448.5,25497,,,,25578.1875,25659.21,0,0,25529.77176999853,25577.185636645816,25641.868417187816,25646.327731299105,25535.260410082476,25592.7218901476,25477.79893001735,4657
1767312000,25497,25514,25473.75,25510.75,,,,25572.9375,25654.115,0,0,25525.967415998824,25571.146033314377,25636.726518474567,25644.978699146875,25534.666989950903,25591.832529959935,25477.501449941872,2990
1767315600,25511,25556.25,25510.25,25555.5,,,,25569.9,25650.405,0,0,25531.87393279906,25569.723666649432,25633.541164808896,25644.088363831983,25534.82434629485,25591.243399521984,25478.405293067714,4853
1767319200,25555.25,25607.5,25555,25603.75,,,,25570.1375,25647.59,0,0,25546.249146239246,25572.816969681302,25632.372883835997,25643.686987077435,25536.30058880835,25592.63351306976,25479.96766454694,5208
1767322800,25603.25,25625.75,25596,25625.25,,,,25571.6,25645.95,0,0,25562.049316991397,25577.583608801182,25632.093555058116,25643.5035344697,25537.867667568382,25594.724126673835,25481.01120846293,3832
1767326400,25625.5,25638.25,25617.25,25625.75,,,,25572.975,25644.375,0,0,25574.78945359312,25581.962371637437,25631.84478819309,25643.326882385423,25539.373523988517,25596.907616847835,25481.8394311292,3332
